province,sum
四川,6
安徽,3
贵州,1
山东,9
河南,13
辽宁,4
天津,15
福建,5
内蒙古,6
江西,5
湖北,6
重庆,3
江苏,5
广东,3
河北,6
黑龙江,1
海外,3
山西,2
湖南,1
吉林,1
北京,1
云南,1
