app,keyCount,mouseCount,freq,year,month,day,hour
ShellExperienceHost,1,1,0.1428571428571428,2024,09,29,12
ShellExperienceHost,0,1,0.2,2024,09,29,14
ShellExperienceHost,0,6,0.7499999999999999,2024,09,29,15
ShellExperienceHost,0,1,0.25,2024,09,29,20
ShellExperienceHost,0,2,0.2,2024,09,29,22
explorer,0,34,0.8666666666666666,2024,09,29,00
explorer,0,6,0.5095238095238095,2024,09,29,12
explorer,0,28,2.3666666666666667,2024,09,29,13
explorer,0,7,1.0333333333333332,2024,09,29,14
explorer,0,47,2.8,2024,09,29,15
explorer,0,18,1.0833333333333333,2024,09,29,16
explorer,0,8,0.9166666666666666,2024,09,29,17
explorer,18,25,1.9833333333333332,2024,09,29,18
explorer,0,24,3.3666666666666667,2024,09,29,19
explorer,0,76,3.4,2024,09,29,20
explorer,0,19,2.033333333333333,2024,09,29,22
explorer,0,5,0.3928571428571428,2024,09,29,23
cloudmusic,0,1,0.25,2024,09,29,12
cloudmusic,0,1,0.25,2024,09,29,13
MuMuPlayer,0,131,2.0,2024,09,29,00
MuMuPlayer,0,264,4.2595238095238095,2024,09,29,12
MuMuPlayer,0,160,2.95,2024,09,29,20
MuMuPlayer,0,304,6.933333333333334,2024,09,29,22
MuMuPlayer,0,1549,56.892857142857146,2024,09,29,23
steamwebhelper,0,1,0.1666666666666666,2024,09,29,12
steamwebhelper,0,1,0.2,2024,09,29,20
steamwebhelper,0,17,0.2,2024,09,29,22
Card Shop Simulator,1616,1718,29.366666666666667,2024,09,29,12
PgyVisitorEnt,0,1,0.25,2024,09,29,12
PgyVisitorEnt,0,1,0.25,2024,09,29,13
PgyVisitorEnt,0,1,0.3333333333333333,2024,09,29,20
Code,780,231,4.75,2024,09,29,18
Code,3338,906,23.816666666666663,2024,09,29,19
Feishu,12,24,0.1428571428571428,2024,09,29,23
QQ,5,93,0.7,2024,09,29,00
QQ,0,1,0.25,2024,09,29,12
QQ,7,55,1.0333333333333332,2024,09,29,13
QQ,182,431,3.4833333333333334,2024,09,29,14
QQ,656,328,5.016666666666667,2024,09,29,15
QQ,378,102,3.45,2024,09,29,16
QQ,165,550,4.166666666666666,2024,09,29,18
QQ,9,159,1.9833333333333327,2024,09,29,19
QQ,0,38,0.7833333333333333,2024,09,29,20
QQ,0,115,1.1,2024,09,29,22
QQ,0,2,0.1428571428571428,2024,09,29,23
