keyTime,appPath,keyCount,mouseCount,freqType,date
2024092822,D:\Tools\PaperReading\copytranslator\copytranslator.exe,0,6,0.2,2024-09-28
2024092815,D:\Tools\Typora\Typora.exe,689,84,4.016666666666667,2024-09-28
2024092816,D:\Tools\Typora\Typora.exe,0,31,0.2,2024-09-28
2024092822,D:\Tools\Typora\Typora.exe,0,3,0.2,2024-09-28
2024092822,D:\Tools\WPS Office\12.1.0.18276\office6\et.exe,16,4,0.5,2024-09-28
2024092823,D:\Tools\WPS Office\12.1.0.18276\office6\et.exe,0,3,0.6428571428571428,2024-09-28
2024092815,D:\Tools\WPS Office\12.1.0.18276\office6\wps.exe,116,327,4.6,2024-09-28
2024092816,D:\Tools\WPS Office\12.1.0.18276\office6\wps.exe,378,888,12.016666666666667,2024-09-28
2024092817,D:\Tools\WPS Office\12.1.0.18276\office6\wps.exe,227,178,7.416666666666667,2024-09-28
2024092819,D:\Tools\WPS Office\12.1.0.18276\office6\wps.exe,333,648,6.8999999999999995,2024-09-28
2024092822,D:\Tools\WPS Office\12.1.0.18276\office6\wps.exe,641,565,11.1,2024-09-28
2024092823,D:\Tools\WPS Office\12.1.0.18276\office6\wps.exe,1092,2238,27.87619047619047,2024-09-28
2024092819,D:\Tools\WPS Office\12.1.0.18276\office6\wpspdf.exe,0,1,0.2,2024-09-28
2024092815,SysDefault,0,60,5.333333333333333,2024-09-28
2024092816,SysDefault,0,39,4.016666666666667,2024-09-28
2024092817,SysDefault,0,15,1.6666666666666665,2024-09-28
2024092818,SysDefault,0,9,1,2024-09-28
2024092819,SysDefault,0,34,3.4833333333333334,2024-09-28
2024092820,SysDefault,4,51,6.016666666666667,2024-09-28
2024092821,SysDefault,0,24,1.9666666666666663,2024-09-28
2024092822,SysDefault,0,45,3.8500000000000005,2024-09-28
2024092823,SysDefault,0,110,6.542857142857143,2024-09-28
2024092815,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,39,391,5.716666666666668,2024-09-28
2024092816,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,57,940,21.9,2024-09-28
2024092817,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,0,227,2.083333333333333,2024-09-28
2024092818,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,20,31,8,2024-09-28
2024092819,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,187,282,23.48333333333333,2024-09-28
2024092820,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,24,253,6.683333333333333,2024-09-28
2024092821,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,4,251,7.466666666666667,2024-09-28
2024092822,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,1,949,26.816666666666663,2024-09-28
2024092823,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,10,422,7.3166666666666655,2024-09-28
