keyCount,mouseCount,distance,year,month,day,hour
748,820,185021,2024,10,13,10
6420,666,336745,2024,10,13,11
2775,719,236088,2024,10,13,12
0,0,3434,2024,10,13,13
26,139,56901,2024,10,13,14
2203,605,377716,2024,10,13,15
330,2320,913896,2024,10,13,16
779,1256,350342,2024,10,13,17
4342,545,215508,2024,10,13,18
926,1129,233338,2024,10,13,19
6,0,2069,2024,10,13,20
294,961,327554,2024,10,13,21
1081,598,261044,2024,10,13,22
2336,891,236540,2024,10,13,23
17,207,64976,2024,10,14,00
6,341,193732,2024,10,14,09
26,52,92388,2024,10,14,10
0,12,23276,2024,10,14,11
52,257,100250,2024,10,14,12
0,7,5383,2024,10,14,16
3,49,32969,2024,10,14,17
1680,1857,1021275,2024,10,14,18
1087,2459,637316,2024,10,14,19
969,641,232276,2024,10,14,20
259,1125,362158,2024,10,14,21
2608,4045,1147684,2024,10,14,22
1503,2738,593805,2024,10,14,23
1,11,11641,2024,10,15,00
5,41,16100,2024,10,15,11
3135,644,415601,2024,10,15,12
779,671,262398,2024,10,15,13
2090,26,45046,2024,10,15,15
4278,152,185146,2024,10,15,16
312,25,32237,2024,10,15,17
3014,2986,828453,2024,10,15,18
1113,4142,1087304,2024,10,15,19
495,767,284063,2024,10,15,20
290,1515,568804,2024,10,15,21
4833,2872,748459,2024,10,15,22
7813,1952,815725,2024,10,15,23
4462,1514,558061,2024,10,16,00
1609,2787,941224,2024,10,16,09
1745,1919,664064,2024,10,16,10
463,807,398758,2024,10,16,11
2989,827,322851,2024,10,16,12
2062,447,111837,2024,10,16,13
2116,1942,416948,2024,10,16,14
2634,1884,340832,2024,10,16,15
2611,2826,385136,2024,10,16,16
540,1086,200887,2024,10,16,17
2634,3746,960286,2024,10,16,18
4157,1483,745501,2024,10,16,19
2714,2058,701955,2024,10,16,20
0,10,35575,2024,10,16,21
5,1881,1291537,2024,10,16,22
1316,889,355183,2024,10,16,23
1316,894,361645,2024,10,16,23
0,48,34717,2024,10,17,11
0,1634,1059098,2024,10,17,12
1407,1175,287551,2024,10,17,13
293,1548,681524,2024,10,17,14
2620,1603,1345273,2024,10,17,15
338,318,161224,2024,10,17,16
5,356,193054,2024,10,17,17
29,732,226511,2024,10,17,18
917,702,312138,2024,10,17,19
1419,1054,347015,2024,10,17,20
267,600,292882,2024,10,17,21
988,1109,334672,2024,10,17,22
2281,1954,1324571,2024,10,17,23
0,333,302914,2024,10,18,00
181,537,306756,2024,10,18,12
361,257,150489,2024,10,18,13
2828,2378,575515,2024,10,18,14
801,2172,466771,2024,10,18,15
3079,2826,749811,2024,10,18,16
2354,2173,381446,2024,10,18,17
575,1194,258894,2024,10,18,18
308,388,110004,2024,10,18,19
917,103,60306,2024,10,18,20
42,238,113207,2024,10,18,21
1551,1690,447925,2024,10,18,22
1290,955,323079,2024,10,18,23
42,73,57563,2024,10,19,00
61,551,204776,2024,10,19,09
1052,2351,1064066,2024,10,19,10
608,1151,465760,2024,10,19,11
0,877,631853,2024,10,19,12
3,714,59350,2024,10,19,13
7,42,57031,2024,10,19,17
2,413,282923,2024,10,19,18
3,2082,1902801,2024,10,19,19
96,659,351643,2024,10,19,20
547,1587,266204,2024,10,19,21
1244,1850,400304,2024,10,19,22
2260,1320,324259,2024,10,19,23
183,125,77729,2024,10,20,00
1,6,18580,2024,10,20,08
4551,904,393867,2024,10,20,09
3419,502,222536,2024,10,20,10
3686,557,250757,2024,10,20,11
2410,258,65318,2024,10,20,12
2540,1255,432628,2024,10,20,13
9,222,225013,2024,10,20,14
9,445,202922,2024,10,20,15
1064,2557,485133,2024,10,20,17
1535,2163,410426,2024,10,20,18
1607,167,66827,2024,10,20,19
225,1203,338100,2024,10,20,20
2295,2191,414758,2024,10,20,21
2407,558,195624,2024,10,20,22
0,1,307,2024,10,20,23
1,11,23445,2024,10,21,00
1,637,256759,2024,10,21,09
0,0,41,2024,10,21,10
841,1318,390957,2024,10,21,11
3,311,135474,2024,10,21,16
535,807,298793,2024,10,21,17
0,1891,1059179,2024,10,21,18
1803,2123,903540,2024,10,21,19
2594,1030,524894,2024,10,21,20
319,493,209600,2024,10,21,21
110,91,79188,2024,10,21,23
110,112,110434,2024,10,21,23
670,433,172018,2024,10,22,08
410,12,8511,2024,10,22,09
2323,1086,515520,2024,10,22,12
37,34,37144,2024,10,22,15
1079,68,68067,2024,10,22,16
570,80,144914,2024,10,22,17
274,1577,439220,2024,10,22,18
553,1106,366423,2024,10,22,19
154,43,31090,2024,10,22,20
758,1118,1011617,2024,10,22,21
0,839,996480,2024,10,22,22
0,12,14686,2024,10,22,23
0,17,20792,2024,10,22,23
47,954,318551,2024,10,23,12
74,362,229220,2024,10,23,13
724,4057,426992,2024,10,23,14
1284,2040,241653,2024,10,23,15
699,2070,357860,2024,10,23,16
132,1353,288372,2024,10,23,17
2871,2937,556993,2024,10,23,18
3153,4666,708123,2024,10,23,19
1402,2861,253441,2024,10,23,20
234,843,113869,2024,10,23,21
87,1634,894555,2024,10,23,22
159,1990,814938,2024,10,23,23
15,1641,1397230,2024,10,24,00
27,890,457583,2024,10,24,14
1403,923,642988,2024,10,24,15
104,1042,519259,2024,10,24,17
1407,1865,1125186,2024,10,24,18
5129,477,288819,2024,10,24,19
5550,391,308511,2024,10,24,20
3783,1233,852545,2024,10,24,21
1184,1275,731853,2024,10,24,22
1909,2544,456358,2024,10,24,23
1912,2550,464523,2024,10,24,23
0,1496,748200,2024,10,25,12
837,1607,755040,2024,10,25,13
4546,2393,641706,2024,10,25,14
2414,2356,723997,2024,10,25,15
4202,903,496696,2024,10,25,16
2497,1077,590417,2024,10,25,17
1264,833,290156,2024,10,25,18
3067,412,287819,2024,10,25,19
1388,2928,817317,2024,10,25,20
227,3525,398236,2024,10,25,21
1431,644,191480,2024,10,25,22
258,1337,1263904,2024,10,25,23
0,812,784370,2024,10,26,00
82,360,186631,2024,10,26,09
1016,1031,602591,2024,10,26,21
94,452,175786,2024,10,26,22
731,117,74883,2024,10,26,23
1491,11,19514,2024,10,27,00
601,1047,867646,2024,10,27,22
890,938,819886,2024,10,27,23
54,2310,922438,2024,10,28,00
1611,1101,224429,2024,10,28,01
31,155,74060,2024,10,28,11
1,518,275458,2024,10,28,12
0,8,9305,2024,10,28,16
429,1943,918023,2024,10,28,17
1007,3527,1016064,2024,10,28,18
1140,2777,1041013,2024,10,28,19
762,2794,1503560,2024,10,28,20
747,1624,434694,2024,10,28,21
2320,2165,637047,2024,10,28,22
1205,677,201220,2024,10,28,23
1205,685,204135,2024,10,28,23
27,534,376547,2024,10,29,12
7,2,16021,2024,10,29,17
1501,2094,805885,2024,10,29,18
724,1705,533371,2024,10,29,19
83,559,320234,2024,10,29,20
1711,2700,817841,2024,10,29,21
1762,3471,586989,2024,10,29,22
1629,2766,679817,2024,10,29,23
746,1488,781303,2024,10,30,00
165,742,95046,2024,10,30,07
1684,2615,881522,2024,10,30,12
779,767,169855,2024,10,30,13
2962,2828,521799,2024,10,30,14
1839,2423,1140727,2024,10,30,15
840,2594,589365,2024,10,30,16
717,1004,237697,2024,10,30,17
1975,1573,441474,2024,10,30,18
2732,2075,670609,2024,10,30,19
1522,1728,693445,2024,10,30,20
1,481,286897,2024,10,30,21
54,2148,1303124,2024,10,30,22
1016,2698,886024,2024,10,30,23
1,121,15108,2024,10,31,00
1,186,109428,2024,10,31,11
34,1557,860919,2024,10,31,12
7,725,369872,2024,10,31,13
0,1146,595891,2024,10,31,14
641,2739,809683,2024,10,31,15
1328,2415,611730,2024,10,31,16
606,2642,468720,2024,10,31,17
270,579,170129,2024,10,31,18
1354,3832,783102,2024,10,31,19
1540,1825,443913,2024,10,31,20
1929,3043,790475,2024,10,31,21
1220,2311,495690,2024,10,31,22
824,2972,679871,2024,10,31,23
1203,3621,728408,2024,11,01,00
126,755,181681,2024,11,01,01
1192,3638,936138,2024,11,01,14
1361,2106,1121417,2024,11,01,15
1798,4093,1206199,2024,11,01,16
778,3195,775788,2024,11,01,17
461,2491,678091,2024,11,01,18
1026,4479,1096579,2024,11,01,19
212,931,296577,2024,11,01,20
97,1637,1382862,2024,11,01,21
4,2113,2247026,2024,11,01,22
336,1990,1744418,2024,11,01,23
356,1599,359518,2024,11,02,00
