app,type,keycount,year,month,day
QQ,Mouse,665,2024,11,02
WeChat,Mouse,213,2024,11,02
Typora,Mouse,1584,2024,11,02
photolaunch,Mouse,19,2024,11,02
wpp,Mouse,39,2024,11,02
wps,Mouse,3501,2024,11,02
client,Mouse,3,2024,11,02
SysDefault,Mouse,641,2024,11,02
msedge,Key,1963,2024,11,03
WeChatAppEx,Key,4,2024,11,03
explorer,Key,28,2024,11,03
MuMuPlayer,Key,16,2024,11,03
steamwebhelper,Key,9,2024,11,03
dnftm,Key,19,2024,11,03
Code,Key,249,2024,11,03
Feishu,Key,259,2024,11,03
QQ,Key,3374,2024,11,03
WeChat,Key,4441,2024,11,03
copytranslator,Key,99,2024,11,03
Typora,Key,49,2024,11,03
wpp,Key,16,2024,11,03
wps,Key,2928,2024,11,03
SysDefault,Key,16,2024,11,03
msedge,Mouse,14468,2024,11,03
HipsTray,Mouse,1,2024,11,03
SnippingTool,Mouse,1,2024,11,03
OneDrive,Mouse,1,2024,11,03
WeChatAppEx,Mouse,13,2024,11,03
Clash for Windows,Mouse,39,2024,11,03
ApplicationFrameHost,Mouse,13,2024,11,03
Taskmgr,Mouse,1,2024,11,03
SearchHost,Mouse,1,2024,11,03
ShellExperienceHost,Mouse,41,2024,11,03
explorer,Mouse,584,2024,11,03
cloudmusic,Mouse,143,2024,11,03
MuMuPlayer,Mouse,6634,2024,11,03
steamwebhelper,Mouse,94,2024,11,03
dnftm,Mouse,549,2024,11,03
Code,Mouse,867,2024,11,03
Feishu,Mouse,94,2024,11,03
QQ,Mouse,2077,2024,11,03
WeChat,Mouse,1203,2024,11,03
copytranslator,Mouse,389,2024,11,03
Typora,Mouse,214,2024,11,03
et,Mouse,1,2024,11,03
photolaunch,Mouse,1,2024,11,03
wpp,Mouse,40,2024,11,03
wps,Mouse,7207,2024,11,03
SysDefault,Mouse,1216,2024,11,03
msedge,Key,1450,2024,11,04
SenaryAudioApp,Key,1,2024,11,04
WeChatAppEx,Key,1,2024,11,04
ApplicationFrameHost,Key,728,2024,11,04
SearchHost,Key,7,2024,11,04
explorer,Key,43,2024,11,04
MuMuPlayer,Key,25,2024,11,04
Code,Key,113,2024,11,04
Feishu,Key,255,2024,11,04
wemeetapp,Key,2,2024,11,04
QQ,Key,2191,2024,11,04
WeChat,Key,1649,2024,11,04
et,Key,15,2024,11,04
wps,Key,1061,2024,11,04
SysDefault,Key,11,2024,11,04
msedge,Mouse,5017,2024,11,04
HipsTray,Mouse,4,2024,11,04
SenaryAudioApp,Mouse,14,2024,11,04
OneDrive,Mouse,1,2024,11,04
WeChatAppEx,Mouse,2,2024,11,04
Clash for Windows,Mouse,6,2024,11,04
ApplicationFrameHost,Mouse,1266,2024,11,04
PickerHost,Mouse,1,2024,11,04
StartMenuExperienceHost,Mouse,2,2024,11,04
SearchHost,Mouse,2,2024,11,04
ShellExperienceHost,Mouse,53,2024,11,04
explorer,Mouse,344,2024,11,04
cloudmusic,Mouse,5,2024,11,04
MuMuPlayer,Mouse,3411,2024,11,04
steamwebhelper,Mouse,1,2024,11,04
Code,Mouse,300,2024,11,04
Feishu,Mouse,302,2024,11,04
wemeetapp,Mouse,166,2024,11,04
QQ,Mouse,729,2024,11,04
WeChat,Mouse,325,2024,11,04
et,Mouse,7,2024,11,04
photolaunch,Mouse,7,2024,11,04
wpp,Mouse,49,2024,11,04
wps,Mouse,2667,2024,11,04
SysDefault,Mouse,721,2024,11,04
msedge,Key,1210,2024,11,05
WeChatAppEx,Key,1,2024,11,05
SearchHost,Key,8,2024,11,05
explorer,Key,89,2024,11,05
MuMuPlayer,Key,7,2024,11,05
devcpp,Key,3709,2024,11,05
Code,Key,4028,2024,11,05
QQ,Key,1529,2024,11,05
WeChat,Key,687,2024,11,05
wps,Key,17,2024,11,05
SysDefault,Key,2,2024,11,05
msedge,Mouse,5479,2024,11,05
WeChatAppEx,Mouse,3,2024,11,05
Clash for Windows,Mouse,1,2024,11,05
ApplicationFrameHost,Mouse,5,2024,11,05
PickerHost,Mouse,3,2024,11,05
StartMenuExperienceHost,Mouse,4,2024,11,05
SearchHost,Mouse,2,2024,11,05
ShellExperienceHost,Mouse,16,2024,11,05
explorer,Mouse,237,2024,11,05
cloudmusic,Mouse,3,2024,11,05
MuMuPlayer,Mouse,5103,2024,11,05
devcpp,Mouse,355,2024,11,05
Code,Mouse,3140,2024,11,05
Feishu,Mouse,27,2024,11,05
QQ,Mouse,580,2024,11,05
WeChat,Mouse,315,2024,11,05
wps,Mouse,3,2024,11,05
SysDefault,Mouse,581,2024,11,05
msedge,Key,1442,2024,11,06
Notepad,Key,142,2024,11,06
WindowsTerminal,Key,1829,2024,11,06
msiexec,Key,8,2024,11,06
SearchHost,Key,6,2024,11,06
explorer,Key,1142,2024,11,06
MuMuPlayer,Key,3,2024,11,06
steamwebhelper,Key,11,2024,11,06
devcpp,Key,18509,2024,11,06
Code,Key,6,2024,11,06
Feishu,Key,15,2024,11,06
QQ,Key,2068,2024,11,06
WeChat,Key,13,2024,11,06
wps,Key,33,2024,11,06
SysDefault,Key,18,2024,11,06
msedge,Mouse,5816,2024,11,06
Notepad,Mouse,49,2024,11,06
WindowsTerminal,Mouse,710,2024,11,06
Clash for Windows,Mouse,4,2024,11,06
Clash for Windows,Mouse,6,2024,11,06
ApplicationFrameHost,Mouse,117,2024,11,06
SystemPropertiesAdvanced,Mouse,1,2024,11,06
msiexec,Mouse,44,2024,11,06
StartMenuExperienceHost,Mouse,4,2024,11,06
SearchHost,Mouse,4,2024,11,06
ShellExperienceHost,Mouse,12,2024,11,06
explorer,Mouse,1113,2024,11,06
cloudmusic,Mouse,2,2024,11,06
MuMuPlayer,Mouse,2546,2024,11,06
steamwebhelper,Mouse,208,2024,11,06
devcpp,Mouse,10045,2024,11,06
Code,Mouse,123,2024,11,06
Feishu,Mouse,203,2024,11,06
QQ,Mouse,419,2024,11,06
WeChat,Mouse,26,2024,11,06
photolaunch,Mouse,230,2024,11,06
wps,Mouse,484,2024,11,06
SysDefault,Mouse,1069,2024,11,06
msedge,Key,1363,2024,11,07
Notepad,Key,52,2024,11,07
explorer,Key,23,2024,11,07
cloudmusic,Key,1,2024,11,07
MuMuPlayer,Key,6,2024,11,07
Code,Key,2404,2024,11,07
QQ,Key,2838,2024,11,07
WeChat,Key,3589,2024,11,07
wps,Key,12,2024,11,07
SysDefault,Key,2,2024,11,07
msedge,Mouse,11049,2024,11,07
HipsTray,Mouse,5,2024,11,07
Notepad,Mouse,3,2024,11,07
Clash for Windows,Mouse,20,2024,11,07
ApplicationFrameHost,Mouse,27,2024,11,07
Taskmgr,Mouse,2,2024,11,07
LockApp,Mouse,1,2024,11,07
StartMenuExperienceHost,Mouse,3,2024,11,07
ShellExperienceHost,Mouse,4,2024,11,07
explorer,Mouse,191,2024,11,07
cloudmusic,Mouse,12,2024,11,07
MuMuPlayer,Mouse,5173,2024,11,07
BaiduNetdisk,Mouse,96,2024,11,07
Code,Mouse,1970,2024,11,07
Feishu,Mouse,7,2024,11,07
QQ,Mouse,682,2024,11,07
WeChat,Mouse,979,2024,11,07
photolaunch,Mouse,22,2024,11,07
wps,Mouse,340,2024,11,07
wpspdf,Mouse,1,2024,11,07
SysDefault,Mouse,898,2024,11,07
msedge,Key,1257,2024,11,08
peazip,Key,3,2024,11,08
WindowsTerminal,Key,76,2024,11,08
WeChatAppEx,Key,17,2024,11,08
OpenWith,Key,1,2024,11,08
LockApp,Key,1,2024,11,08
explorer,Key,89,2024,11,08
MuMuPlayer,Key,9,2024,11,08
BaiduNetdisk,Key,3,2024,11,08
devcpp,Key,2063,2024,11,08
Code,Key,4486,2024,11,08
Feishu,Key,4,2024,11,08
QQ,Key,2093,2024,11,08
WeChat,Key,2043,2024,11,08
Typora,Key,80,2024,11,08
wps,Key,109,2024,11,08
SysDefault,Key,4,2024,11,08
msedge,Mouse,5638,2024,11,08
HipsTray,Mouse,4,2024,11,08
peazip,Mouse,66,2024,11,08
WinRAR,Mouse,4,2024,11,08
WindowsTerminal,Mouse,19,2024,11,08
WeChatAppEx,Mouse,87,2024,11,08
Clash for Windows,Mouse,5,2024,11,08
Clash for Windows,Mouse,9,2024,11,08
ApplicationFrameHost,Mouse,7,2024,11,08
OpenWith,Mouse,1,2024,11,08
StartMenuExperienceHost,Mouse,2,2024,11,08
SearchHost,Mouse,7,2024,11,08
ShellExperienceHost,Mouse,2,2024,11,08
explorer,Mouse,904,2024,11,08
cloudmusic,Mouse,8,2024,11,08
MuMuPlayer,Mouse,2884,2024,11,08
BaiduNetdisk,Mouse,19,2024,11,08
devcpp,Mouse,128,2024,11,08
Code,Mouse,13022,2024,11,08
Feishu,Mouse,17,2024,11,08
QQ,Mouse,2007,2024,11,08
WeChat,Mouse,1132,2024,11,08
Typora,Mouse,24,2024,11,08
photolaunch,Mouse,57,2024,11,08
wpp,Mouse,2,2024,11,08
wps,Mouse,351,2024,11,08
SysDefault,Mouse,792,2024,11,08
msedge,Key,75,2024,11,09
EasyConnect,Key,36,2024,11,09
WindowsTerminal,Key,16,2024,11,09
WeChatAppEx,Key,1,2024,11,09
SearchHost,Key,20,2024,11,09
ShellExperienceHost,Key,28,2024,11,09
explorer,Key,34,2024,11,09
devcpp,Key,2719,2024,11,09
Code,Key,150,2024,11,09
QQ,Key,9,2024,11,09
WeChat,Key,343,2024,11,09
SysDefault,Key,1,2024,11,09
msedge,Mouse,1093,2024,11,09
EasyConnect,Mouse,9,2024,11,09
HipsMain,Mouse,2,2024,11,09
WindowsTerminal,Mouse,13,2024,11,09
WeChatAppEx,Mouse,4,2024,11,09
EasyConnectInstaller,Mouse,2,2024,11,09
LockApp,Mouse,2,2024,11,09
StartMenuExperienceHost,Mouse,4,2024,11,09
ShellExperienceHost,Mouse,10,2024,11,09
explorer,Mouse,41,2024,11,09
cloudmusic,Mouse,1,2024,11,09
MuMuPlayer,Mouse,550,2024,11,09
steamwebhelper,Mouse,2,2024,11,09
BaiduNetdisk,Mouse,70,2024,11,09
devcpp,Mouse,181,2024,11,09
Code,Mouse,1591,2024,11,09
Feishu,Mouse,25,2024,11,09
QQ,Mouse,202,2024,11,09
WeChat,Mouse,90,2024,11,09
SysDefault,Mouse,113,2024,11,09
msedge,Key,23,2024,11,10
SearchHost,Key,1,2024,11,10
explorer,Key,2,2024,11,10
MuMuPlayer,Key,63,2024,11,10
Feishu,Key,27,2024,11,10
msedge,Mouse,11,2024,11,10
StartMenuExperienceHost,Mouse,5,2024,11,10
SearchHost,Mouse,1,2024,11,10
ShellExperienceHost,Mouse,7,2024,11,10
explorer,Mouse,7,2024,11,10
cloudmusic,Mouse,2,2024,11,10
MuMuPlayer,Mouse,162,2024,11,10
BaiduNetdisk,Mouse,34,2024,11,10
Feishu,Mouse,4,2024,11,10
WeChat,Mouse,4,2024,11,10
SysDefault,Mouse,22,2024,11,10
msedge,Key,472,2024,11,11
WeChatAppEx,Key,8,2024,11,11
ApplicationFrameHost,Key,30,2024,11,11
LockApp,Key,1,2024,11,11
SearchHost,Key,18,2024,11,11
explorer,Key,14,2024,11,11
MuMuPlayer,Key,24,2024,11,11
Code,Key,2631,2024,11,11
Feishu,Key,203,2024,11,11
wemeetapp,Key,20,2024,11,11
QQ,Key,1617,2024,11,11
WeChat,Key,6101,2024,11,11
wps,Key,820,2024,11,11
SysDefault,Key,1,2024,11,11
msedge,Mouse,1254,2024,11,11
WeChatAppEx,Mouse,167,2024,11,11
ApplicationFrameHost,Mouse,66,2024,11,11
LockApp,Mouse,1,2024,11,11
SearchHost,Mouse,2,2024,11,11
ShellExperienceHost,Mouse,18,2024,11,11
explorer,Mouse,476,2024,11,11
cloudmusic,Mouse,7,2024,11,11
MuMuPlayer,Mouse,7684,2024,11,11
steamwebhelper,Mouse,27,2024,11,11
Code,Mouse,3699,2024,11,11
Feishu,Mouse,55,2024,11,11
wemeetapp,Mouse,174,2024,11,11
QQ,Mouse,672,2024,11,11
WeChat,Mouse,2549,2024,11,11
wps,Mouse,612,2024,11,11
java,Mouse,3,2024,11,11
vivado,Mouse,2,2024,11,11
java,Mouse,1,2024,11,11
SysDefault,Mouse,766,2024,11,11
